track_id,track_name,track_popularity,duration_ms,artist_names,artist_ids,album_id,album_name,album_release_date,album_total_tracks
2jc4wyf3ys0zKCpxHRjEYx,Travelin' Man - Remastered,37,142933,Ricky Nelson,73sSFVlM6pkweLXE8qw1OS,607RtLzi6P55QVhosSAGwQ,The Best Of Rick Nelson (Vol. 2),1991-01-01,27
3JhwxN5fPtpWh8O4qCBjYO,Moody River,30,153586,Pat Boone,7fmKtIgmxqNEKjATioVNsu,0hyzSiJY6YjK7ryjlF9F6i,The Gold Collection,1964-01-01,14
7aHn8rGeEGkDkQiUV0DpW1,Quarter To Three,28,150400,Gary U.S. Bonds,1Qw8MHpjYxm9Xf0O1ZfPiX,67mDeyfrpaScD9ow5jnAzt,The Very Best Of Gary U.S. Bonds (The Original Legrand Masters),1998-01-01,16
79s3pSe1u6ggQBEwVPm58Z,Tossin' And Turnin',39,159640,Bobby Lewis,6KfBWaX13etjtEZ4d9aTWW,31JyXxhju4kXiYJwdjb3u3,Tossin' and Turnin',2005,18
2ELAMT68a78OGwhCgj9Kai,Wooden Heart,14,118426,Joe Dowell,1b5taabb9eKSbyzVFVtEjh,2vbGrveqwAdzAguDJBYFfi,The Best Of Joe Dowell,2009-01-01,14
5pgq6Pzyr8iF2Rs7vzC1nd,Michael/Cotton Fields Medley,4,289227,The Highwaymen,42zQWH4QjEPz9xO4tJpgjZ,4xQseKMx3kxpcsVF638xnY,Hootenanny With The Highwaymen,1972,14
1MR7XamWS0XH6vZxeeRdE0,Take Good Care Of My Baby - 1990 Remastered,48,150866,Bobby Vee,5MX2l6ewjOaeWn1lYNhzlO,434hmQ0GM7ynBeMZz5BSQ3,The Legendary Masters Series,2011-01-01,28
3Q7LXyGZ3SLD0dLztx3j5x,Hit the Road Jack,0,120173,Ray Charles,1eYhYunlNJlDoQhtYBvPsi,4kkVGdtNzEetpy6i2G5tGN,Rock & Roll 50s Mix,2016-04-08,32
1DndHckdH9m5rp6gYP086b,Runaround Sue,68,171600,Dion,15FyiY3ChN0QRspHIQYq0W,20vUqyMzF8fgQhkdLdtzi7,Runaround Sue,1961,12
61uAY9xdzYiIbYJ07XvKso,Big Bad John,56,182560,Jimmy Dean,1RaDKTFXuy0qA8YV1h9SwC,2vCenQXDX4DqtRShqJzCci,The Best Of Jimmy Dean,2004-06-22,16
6jX5mso4x00c1EiNMrTU9U,Please Mr. Postman - Single Version / Mono,63,148040,The Marvelettes,0MponVSpW81oLvJZ53vYZH,65n7GqedAHDVRWNh3msH1V,Please Mr. Postman,1961,11
2F4FNcz68howQWD4zaGJSi,The Lion Sleeps Tonight (Wimoweh),62,162093,The Tokens,1GAJzApRTMmYZ9EjQ91VOy,6NBox81OQox7U4I0hZB9t0,Wimoweh!!! - The Best Of The Tokens,1994-08-29,20
3qaxvM6GoaZEiOySyYV4e2,Peppermint Twist,0,119160,Joey Dee; Starliters,7AhwU55MQG9KtNtwr9JoZN; 6xeU10ApUStzerhJqRNh3r,03UlBfBWOHRK0BHlTVALYW,Dick Van Dyke'S Dance Party,1995-06-27,14
6Hy22YDN9HJMRlJP1LwnJy,Duke of Earl,54,147841,Gene Chandler,52uMkSFt2RVO6XxTEt5VeW,2VmU63FIBsGgQYItCvsYkl,The Duke Of Earl,1962-01-01,23
6T8enFgxOUn1bq1C37w59C,Hey! Baby - Single Version,0,142213,Bruce Channel,5Do19ow5oRPYYU46jqdkwh,0bsu7M7VJN8AheepyXeGza,Mad Men: A Musical Companion (1960-1965),2011-01-01,33
5rBeUeRQh1Ou7m3giAX5p5,Don't Break The Heart That Loves You,0,185533,Connie Francis,3EY5DxGdy7x4GelivOjS2Q,3B3SalHPlLiQvwftRPYXcN,20th Century Masters: The Millennium Collection: Best of Connie Francis,1999-01-01,12
5j4CGIpT35ipZrF93ejrhl,Johnny Angel - Single Version,31,139320,Shelley Fabares,6ZID5oFfvvgzIRrqXaTJSy,34UZq3EssjswYxXqFqGuVN,The Best Of Shelley Fabares,2006-01-24,15
4ZexY8LcZkPd89dYPxf8LH,Good Luck Charm,40,145400,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,0QVoYzGd1p8Z3ohEaM0lsc,Elvis 30 #1 Hits,2002-09-24,31
6g4Oyy8IwraOjPl7nqnROq,Soldier Boy,0,162013,The Shirelles,0x83OBqixqdCHnStP5VMcn,5x4f3Q9N93as7xLCxIMkDK,20 Greatest Hits,2009-03-07,20
6sZ8qBd2dO4QQq6B6FqVPn,Stranger on the Shore,0,201960,Acker Bilk,5bdgb81IJMXag724quaNSA,6lX6EV1BJAoRwR3p6u7mS5,Clarinet Moods,1997-07-14,18
2FTCUHcXNicisIq19seZ2b,I Can't Stop Loving You,0,252734,Ray Charles,1eYhYunlNJlDoQhtYBvPsi,4tYQIDtv9Td3Ttln6M73Id,"30 Succès inoubliables : Ray Charles, Vol. 1",2012-08-06,30
00vH2PsEQTGRyJYhyIyDbr,The Stripper,26,116733,David Rose,2nv8pUrGHqpVzYvQCyiKjk,5Uc8NaZzkuFN7AFDwtm1Rf,Tease: The Beat Of Burlesque,2005-01-01,14
0qYok0f8O5DE8yJSo146dn,Roses Are Red (My Love) - Single Version,37,158933,Bobby Vinton,6bOYtKnpLPQSfMpS2ilotK,4qK4QZUSp8QdoMEm9mrzyA,The Best Of Bobby Vinton,2004-06-22,14
64UJ810pLNwurMLRCPJPoa,Breaking Up Is Hard to Do,44,136093,Neil Sedaka,5N6GwJzOcOY5kv8p0NjhYL,1ya3SaqV6XPJjeSq7Camb2,Neil Sedaka Sings The Hits,1999-10-25,34
53UXqZaarqFPAFEy7dT1m1,The Locomotion,40,139120,Little Eva,4S76LQXJD6N2uPcLhKejG8,4hiDQjQltfdWHqAdiQqe7n,Playlist: The Best Of Little Eva,2016-03-18,20
10vNiMmicAiPcU44JkLMJ8,Sheila,0,127773,Tommy Roe,7t4XHvWfj0XtEB8SNFeALw,0AYuiPFCcKjDC4tKTWjjZG,Sheila,2011-12-12,5
0NpvdCO506uO58D4AbKzki,Sherry,52,152160,Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,0NUEQILaBzavnzcMEs4buZ,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14,20
0xxZY5C9xxij3D1HkzbnfC,Monster Mash,74,192040,"Bobby ""Boris"" Pickett; The Crypt-Kickers",42MRYPhQfcEXqb18dl5ERX; 4frDtYgwXXKkbyQzjOmJG5,1yW6XU0pw5ZqDeu81OAaCr,The Original Monster Mash,1962,16
0mG8Hety4RELeo6p808fcy,He's a Rebel,44,150893,The Crystals,7rewR1TVjhisjI6gauUamf,11ho9FxQbJjMbQn1P1yWpm,Da Doo Ron Ron: The Very Best of The Crystals,2011-02-22,18
3VPJVon5HEa2VGZC62RJfW,Big Girls Don't Cry,46,145973,Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,0NUEQILaBzavnzcMEs4buZ,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14,20
6scBGp1rEXy7Dq8otkqSQF,Telstar,0,195906,The Tornados,3SblTU11ZKURsHhWGwPpt9,4GnTqxLo6BgsoJgtvScUJH,"Twang Out: Garage Psych, Vol. 1",2014-04-08,15
7njaM2eztw1mjxOAjFrgHF,Go Away Little Girl,0,134000,Steve Lawrence,271pvVqDFiREx6PqzwOX8p,53OXxc7feVFlzCHddDLvc5,Going Solo with Steve Lawrence,2014-10-19,20
4WhT2YADjcU58IUgroWZQZ,Walk Right In,45,157266,The Rooftop Singers,6Gb08eT3LlkGynDscl9vbz,1BuP3K4tWcL1WSpUcLQHyz,Vanguard Visionaries,2007-01-01,10
50tTePJn69dlpGxVfWWHWM,Hey Paula,0,152453,Paul & Paula,2pycVt1qR9u8bKdb4oLI98,4Ur0tcSMVhS723Q19yodPK,"Lo Mejor de los Años 60, Vol. 3 Pop",2015-03-13,17
1p9rtS9FiIFUP1BrkKheST,Walk Like a Man,43,137533,Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,0NUEQILaBzavnzcMEs4buZ,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14,20
3ngYXFSYtF5mHguNCA3JZ0,Our Day Will Come,44,154706,Ruby And The Romantics,7y0ngZzIllkP8ZOqgTKQFc,4ld3rO6I2P7CmDDtksx19D,Our Day Will Come,1963-01-01,12
2Bs1Lw9LX8hBm70t1iGdlh,He's So Fine - Remastered 2000,57,112520,The Chiffons,05sIdEkXAYDbDDdv3T56Oj,1WvYZcG9v3WzzNNkwpreGq,The Chiffons Absolutely The Best!,2004-10-02,14
