track_id,track_name,artist_names,album_id,album_name,album_release_date,release_year,artist_ids,duration_ms,album_total_tracks,track_popularity,genre
0MHStU0muAIEMbwdnebYu2,Takedown,Huntr/X; Ejae; Audrey Nuna; Rei Ami; Kpop Demon Hunters Cast,14JkAa6IiFaOh5s0nMyMU9,KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20 00:00:00+00:00,2025.0,2yNNYQBChuox9A5Ka93BIn; 0RMJOzHDhAKY1o2j0W0vxY; 0Wwji82sLA0Hcvtuak3omb; 6U1dV7aL68N7Gb0Naq34V5; 7mW7Tv7NvywKKXqafZo0Lc,182016,12,92,k-pop
0je57Uq5eTk1wrPzn9sWbl,When Did You Get Hot?,Sabrina Carpenter,1aqg30bNvLSWgShZgX4oop,Man’s Best Friend,2025-08-29 00:00:00+00:00,2025.0,74KM79TiuVKeVCqs8QtB0B,145398,12,92,pop
7D0RhFcb3CrfPuTJ0obrod,Sparks,Coldplay,6ZG5lRT77aJ3btmArcykra,Parachutes,2000-07-10 00:00:00+00:00,2000.0,4gzpq5DPGxSnKTe4SA8HAU,227093,10,91,
55lijDD6OAjLFFUHU9tcDm,WHERE IS MY HUSBAND!,Raye,01sqwTOTrN9gaYQc1rr6Zw,WHERE IS MY HUSBAND!,2025-09-19 00:00:00+00:00,2025.0,5KKpBU5eC2tJDzf0wmlRp2,196795,1,91,
04a44cx2PJthIbN2aLMXhl,TIT FOR TAT,Tate Mcrae,1ks1k7zln4TyBjn1CF3vCz,TIT FOR TAT,2025-09-26 00:00:00+00:00,2025.0,45dkTj5sMRSjrmBSBeiHym,175956,1,91,
6qqrTXSdwiJaq8SO0X2lSe,Ordinary,Alex Warren,6xomx5ekO7qHDvDh57rZ5S,Ordinary,2025-02-07 00:00:00+00:00,2025.0,0fTSzq9jAh4c36UVb4V7CB,186964,1,91,
2yWlGEgEfPot0lv3OAjuG3,Just Keep Watching (From F1® The Movie),Tate Mcrae; F1 The Album,5aWEjuULckx3nnpAM9w6gY,Just Keep Watching (From F1® The Movie),2025-05-30 00:00:00+00:00,2025.0,45dkTj5sMRSjrmBSBeiHym; 3aly4xJOy3LVznzvRIvFYC,142550,1,91,
6xV7Be6XEvkSnighmh2Tzj,Sugar On My Tongue,"Tyler, The Creator",1jzv3jwZbt8lYfEtMjiD1R,DON'T TAP THE GLASS,2025-07-21 00:00:00+00:00,2025.0,4V8LLVI7PbaPR0K2TGSxFF,153332,10,91,
4SRShYMtFIGgnOU7iBicMH,Nobody’s Son,Sabrina Carpenter,1aqg30bNvLSWgShZgX4oop,Man’s Best Friend,2025-08-29 00:00:00+00:00,2025.0,74KM79TiuVKeVCqs8QtB0B,182576,12,90,pop
2SsY5k7UWFqgye3PUMG3Oq,The Subway,Chappell Roan,7GlwcUYHB99l7k13I2Hira,The Subway,2025-08-01 00:00:00+00:00,2025.0,7GlBOeep6PqTfFi59PTUUN,252276,1,89,
2fuYa3Lx06QQJAm0MjztKr,Let Down,Radiohead,6dVIqQ8qmQ5GBnJ9shOYGE,OK Computer,1997-05-28 00:00:00+00:00,1997.0,4Z8W4fKeB5YxbusRsdQVPb,299560,12,89,alternative rock; art rock
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,0BwWUstDMUbgq2NYONRqlu,Rumours (Super Deluxe),1977-02-04 00:00:00+00:00,1977.0,08GQAI4eElDnROBrJRGE0X,257800,58,89,classic rock; soft rock; yacht rock
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,1WAjjRMfZjEXtB0lQrAw6Q,"Good Luck, Babe!",2024-04-05 00:00:00+00:00,2024.0,7GlBOeep6PqTfFi59PTUUN,218423,1,89,
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,58ufpQsJ1DS5kq4hhzQDiI,Unorthodox Jukebox,2012-12-07 00:00:00+00:00,2012.0,0du5cEVh5yTK9QJze8zA0C,233478,10,88,
0bxPRWprUVpQK0UFcddkrA,Folded,Kehlani,5enIvPn8EEPWMGxzBzxvcm,Folded,2025-06-11 00:00:00+00:00,2025.0,0cGUm45nv7Z6M6qdXYQGTX,238120,1,88,
6wHpLMmp98aHcV8L1JFrj8,Eternity,Alex Warren,6FyViQsaJnS1e5if4ouzGK,"You'll Be Alright, Kid",2025-07-18 00:00:00+00:00,2025.0,0fTSzq9jAh4c36UVb4V7CB,189553,21,88,
3rUGC1vUpkDG9CZFHMur1t,greedy,Tate Mcrae,3UOV8XvCwMKaATRNXrYCjN,greedy,2023-09-15 00:00:00+00:00,2023.0,45dkTj5sMRSjrmBSBeiHym,131872,1,88,
5vNRhkKd0yEAg8suGBpjeY,APT.,Rosé; Bruno Mars,2IYQwwgxgOIn7t3iF6ufFD,APT.,2024-10-18 00:00:00+00:00,2024.0,3eVa5w3URK5duf6eyVDbu9; 0du5cEVh5yTK9QJze8zA0C,169917,1,88,k-pop
42UBPzRMh5yyz0EDPr6fr1,Manchild,Sabrina Carpenter,3wRHV5fOeUcM5hvYzWZsic,Manchild,2025-06-05 00:00:00+00:00,2025.0,74KM79TiuVKeVCqs8QtB0B,213645,1,88,pop
